title,platform,url,certificate,verified,rating,learners,duration_hours,level,topic,dataset_source
Machine Learning Specialization,Pluralsight,https://www.pluralsight.com/search?q=Machine+Learning+Specialization,True,True,4.1,4134,40,beginner,machine learning,synthetic_pfa_v1
Applied Machine Learning in Python,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Applied+Machine+Learning+in+Python,False,False,4.4,116398,18,beginner,machine learning,synthetic_pfa_v1
ML Fundamentals: From Theory to Practice,Udemy,https://www.udemy.com/courses/search/?q=ML+Fundamentals%3A+From+Theory+to+Practice,True,True,4.0,7489,12,beginner,machine learning,synthetic_pfa_v1
Hands-On Machine Learning with Scikit-Learn,Pluralsight,https://www.pluralsight.com/search?q=Hands-On+Machine+Learning+with+Scikit-Learn,True,True,4.1,465837,16,beginner,machine learning,synthetic_pfa_v1
Machine Learning Specialization – Intermediate,DataCamp,https://www.datacamp.com/search?q=Machine+Learning+Specialization+%E2%80%93+Intermediate,True,False,4.8,6375,19,intermediate,machine learning,synthetic_pfa_v1
Applied Machine Learning in Python – Intermediate,Coursera,https://www.coursera.org/search?query=Applied+Machine+Learning+in+Python+%E2%80%93+Intermediate,True,True,3.8,5460,48,intermediate,machine learning,synthetic_pfa_v1
ML Fundamentals: From Theory to Practice – Intermediate,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=ML+Fundamentals%3A+From+Theory+to+Practice+%E2%80%93+Intermediate,True,True,4.3,13493,8,intermediate,machine learning,synthetic_pfa_v1
Hands-On Machine Learning with Scikit-Learn – Intermediate,Coursera,https://www.coursera.org/search?query=Hands-On+Machine+Learning+with+Scikit-Learn+%E2%80%93+Intermediate,True,False,4.2,4160,23,intermediate,machine learning,synthetic_pfa_v1
Machine Learning Specialization – Advanced,Udemy,https://www.udemy.com/courses/search/?q=Machine+Learning+Specialization+%E2%80%93+Advanced,True,False,5.0,31740,20,advanced,machine learning,synthetic_pfa_v1
Applied Machine Learning in Python – Advanced,edX,https://www.edx.org/search?q=Applied+Machine+Learning+in+Python+%E2%80%93+Advanced,True,True,4.9,5500,37,advanced,machine learning,synthetic_pfa_v1
ML Fundamentals: From Theory to Practice – Advanced,edX,https://www.edx.org/search?q=ML+Fundamentals%3A+From+Theory+to+Practice+%E2%80%93+Advanced,False,False,3.9,74518,20,advanced,machine learning,synthetic_pfa_v1
Hands-On Machine Learning with Scikit-Learn – Advanced,edX,https://www.edx.org/search?q=Hands-On+Machine+Learning+with+Scikit-Learn+%E2%80%93+Advanced,True,False,4.3,831,35,advanced,machine learning,synthetic_pfa_v1
Deep Learning Specialization,Coursera,https://www.coursera.org/search?query=Deep+Learning+Specialization,True,True,4.0,20099,33,beginner,deep learning,synthetic_pfa_v1
Practical Deep Learning for Coders,DataCamp,https://www.datacamp.com/search?q=Practical+Deep+Learning+for+Coders,True,False,3.8,6192,35,beginner,deep learning,synthetic_pfa_v1
Neural Networks and Deep Learning,Coursera,https://www.coursera.org/search?query=Neural+Networks+and+Deep+Learning,True,False,4.8,64686,9,beginner,deep learning,synthetic_pfa_v1
