title,channel,url,views,duration_minutes,published_year,quality_score,topic,level
Machine Learning for Beginners – Full Course,Krish Naik,https://www.youtube.com/watch?v=JxgmHe2NyeY,17189,34,2019,7.28,machine learning,beginner
Understanding the Bias-Variance Tradeoff,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=EuBBz3bI-aA,468219,79,2020,7.98,machine learning,beginner
Gradient Descent Explained Visually,Sentdex,https://www.youtube.com/watch?v=4b4MUYve_U8,463542,100,2021,8.66,machine learning,beginner
Complete ML Pipeline in Python,DeepMind,https://www.youtube.com/watch?v=T63afkj_qpY,1153313,26,2020,8.89,machine learning,beginner
ML Model Evaluation – Every Metric You Need,Corey Schafer,https://www.youtube.com/watch?v=0B5eIE_1vpU,113193,153,2023,9.7,machine learning,beginner
Machine Learning for Beginners – Full Course – Intermediate,Tech With Tim,https://www.youtube.com/watch?v=8xUher8-5_Q,168712,36,2020,6.66,machine learning,intermediate
Understanding the Bias-Variance Tradeoff – Intermediate,AI Explained,https://www.youtube.com/watch?v=42iIOU-nb3w,6714902,83,2024,7.69,machine learning,intermediate
Gradient Descent Explained Visually – Intermediate,DeepMind,https://www.youtube.com/watch?v=qg4PchTECck,299638,8,2023,8.36,machine learning,intermediate
Complete ML Pipeline in Python – Intermediate,AI Explained,https://www.youtube.com/watch?v=6kEGUCrBEU0,463447,148,2020,8.16,machine learning,intermediate
ML Model Evaluation – Every Metric You Need – Intermediate,The AI Epiphany,https://www.youtube.com/watch?v=XN2ymraj27g,130441,13,2021,6.72,machine learning,intermediate
Machine Learning for Beginners – Full Course – Advanced,CodeEmporium,https://www.youtube.com/watch?v=PeMlggyqz0Y,229905,112,2021,8.16,machine learning,advanced
Understanding the Bias-Variance Tradeoff – Advanced,Krish Naik,https://www.youtube.com/watch?v=BqzgUnrNhFM,56109,116,2020,8.07,machine learning,advanced
Gradient Descent Explained Visually – Advanced,Lex Fridman,https://www.youtube.com/watch?v=I2ZK3ngNvvI,17572,110,2018,7.25,machine learning,advanced
Complete ML Pipeline in Python – Advanced,DeepMind,https://www.youtube.com/watch?v=777Qb0gHuJU,294614,22,2018,9.12,machine learning,advanced
ML Model Evaluation – Every Metric You Need – Advanced,CodeEmporium,https://www.youtube.com/watch?v=6EmjRXUcARc,19006,115,2023,8.67,machine learning,advanced
Deep Learning from Scratch in Python,CodeEmporium,https://www.youtube.com/watch?v=DDSMOjlGkh8,42642,25,2021,9.77,deep learning,beginner
Building Your First Neural Network,Andrej Karpathy,https://www.youtube.com/watch?v=kCc8FmEb1nY,435755,61,2023,7.49,deep learning,beginner
