student_id,session_id,timestamp,cours_id,time_spent_minutes,pages_visited,video_watched_percent,click_events,notes_taken,forum_posts,revisit_flag,quiz_score,attempts_taken,assignment_score,feedback_rating,days_since_last_activity,cumulative_quiz_score,learning_trend,attention_score,feedback_type,next_module_prediction,success_label,session_id_unified
S0001,S0001_S1,2024-03-04 20:52:00,SCI101,34.96714153011233,12,66.54339247072038,17,0,2,0,79,3,90,5,1,79,79.0,0.24,content_boost,PHY101,1,SID_00001
S0001,S0001_S2,2024-03-24 12:57:00,MATH101,32.33095239059744,3,72.9498653085875,30,0,1,1,75,3,75,2,2,154,77.0,0.18,practice_more,PHY101,1,SID_00002
S0001,S0001_S3,2024-03-23 16:58:00,CS101,31.42464602386655,10,69.13369539431002,12,0,1,0,44,2,91,5,1,198,66.0,0.21,good_progress,CS101,0,SID_00003
S0001,S0001_S4,2024-02-03 09:37:00,SCI101,23.98293387770603,8,100.0,17,0,0,0,87,2,67,2,3,285,71.25,0.21,practice_more,ENG101,1,SID_00004
S0001,S0001_S5,2024-04-22 23:38:00,SCI101,32.186383160538625,9,92.04402597371526,23,0,4,1,54,1,71,1,0,339,67.8,0.26,practice_more,CS101,0,SID_00005
S0001,S0001_S6,2024-03-26 01:01:00,ENG101,29.56463197526502,2,63.11747724384018,17,1,0,0,90,1,89,3,4,429,71.5,0.14,revise_prev_topic,SCI101,1,SID_00006
S0001,S0001_S7,2024-01-02 17:56:00,PHY101,32.115870123260166,13,84.92611615447689,16,0,1,1,97,1,68,3,7,526,75.14,0.27,revise_prev_topic,MATH101,1,SID_00007
S0001,S0001_S8,2024-03-10 23:27:00,ENG101,34.57885077000015,4,27.892815540852965,46,0,4,0,65,1,83,3,6,591,73.88,0.09,content_boost,MATH101,1,SID_00008
S0001,S0001_S9,2024-01-30 18:10:00,SCI101,56.33528220612124,5,44.37272777972838,39,0,1,0,99,2,88,2,8,690,76.67,0.2,practice_more,MATH101,1,SID_00009
S0001,S0001_S10,2024-04-10 23:07:00,ENG101,28.947428659988205,13,46.11633888205738,29,1,2,0,64,1,76,3,8,754,75.4,0.18,content_boost,MATH101,1,SID_00010
S0001,S0001_S11,2024-04-08 14:01:00,ENG101,32.96120277064576,8,76.52638180449723,15,1,2,1,81,2,78,1,3,835,75.91,0.22,good_progress,SCI101,1,SID_00011
S0001,S0001_S12,2024-01-07 07:50:00,PHY101,32.57550390722764,5,68.13885210584581,21,1,2,1,76,2,75,4,5,911,75.92,0.18,good_progress,CS101,1,SID_00012
S0001,S0001_S13,2024-02-14 21:55:00,SCI101,29.199126646475108,2,63.96549670889468,28,1,0,1,100,3,60,4,6,1011,77.77,0.14,revise_prev_topic,PHY101,0,SID_00013
S0001,S0001_S14,2024-04-25 02:19:00,MATH101,22.24663894043056,7,89.32852139723121,33,0,2,1,68,3,83,5,2,1079,77.07,0.18,practice_more,MATH101,1,SID_00014
S0001,S0001_S15,2024-04-08 15:53:00,PHY101,47.06604953678462,4,91.83973539088448,35,0,2,0,61,2,95,1,8,1140,76.0,0.31,content_boost,PHY101,1,SID_00015
S0001,S0001_S16,2024-01-15 12:44:00,SCI101,26.43254974231806,13,83.90304496334913,25,1,2,0,78,1,87,1,2,1218,76.12,0.23,pace_slow,MATH101,1,SID_00016
S0001,S0001_S17,2024-04-16 11:07:00,PHY101,38.16152722881371,5,81.79268228817446,33,1,2,1,84,2,91,3,8,1302,76.59,0.24,content_boost,PHY101,1,SID_00017
S0001,S0001_S18,2024-03-27 12:17:00,SCI101,31.748330119914712,7,39.57862769101902,44,1,1,1,63,3,68,3,0,1365,75.83,0.13,pace_slow,PHY101,1,SID_00018
S0001,S0001_S19,2024-01-08 02:22:00,ENG101,34.181185219555864,12,22.83679885535904,31,0,1,1,88,3,77,3,1,1453,76.47,0.13,practice_more,PHY101,1,SID_00019
